ccn,cms_name,cms_name_as_of,state,hospital_type,ownership,beds,latitude,longitude,prior_names
131321,ST MARYS HOSPITAL AND CLINICS,2023-10,ID,Critical Access,Voluntary non-profit - Private,25.0,46.050371,-116.351645,ST MARY'S HOSPITAL
131322,FRANKLIN COUNTY MEDICAL CENTER,2023-10,ID,Critical Access,Government - Local,57.0,42.098379,-111.875467,
131323,ST LUKE'S WOOD RIVER MEDICAL CENTER,2023-10,ID,Critical Access,Voluntary non-profit - Private,25.0,43.648473,-114.349018,
131324,LOST RIVERS MEDICAL CENTER,2023-10,ID,Critical Access,Government - Hospital District or Authority,17.0,43.640552,-113.296253,LOST RIVERS HOSPITAL
131325,BINGHAM MEMORIAL HOSPITAL,2023-10,ID,Critical Access,Voluntary non-profit - Private,90.0,43.192952,-112.347442,
131326,CASSIA REGIONAL HOSPITAL,2023-10,ID,Critical Access,Voluntary non-profit - Private,26.0,42.534204,-113.783419,CASSIA REGIONAL MEDICAL CENTER
131327,GRITMAN MEDICAL CENTER,2023-10,ID,Critical Access,Voluntary non-profit - Private,25.0,46.728704,-117.001406,
131328,BONNER GENERAL HOSPITAL,2023-10,ID,Critical Access,Voluntary non-profit - Private,25.0,48.277485,-116.550314,
270003,ST PETERS HEALTH,2023-10,MT,Acute Care,Voluntary non-profit - Private,125.0,,,ST PETER'S HEALTH | ST PETER'S HOSPITAL | ST PETERS HOSPITAL
270004,BILLINGS CLINIC,2023-10,MT,Acute Care,Voluntary non-profit - Private,288.0,45.790452,-108.51415,BILLINGS CLINIC HOSPITAL
270012,BENEFIS HOSPITALS INC,2023-10,MT,Acute Care,Voluntary non-profit - Private,488.0,47.491848,-111.262615,BENEFIS HEALTH SYSTEM
270014,ST. PATRICK HOSPITAL,2023-10,MT,Acute Care,Voluntary non-profit - Church,200.0,46.873905,-113.999891,ST PATRICK HOSPITAL | ST. PATRICK HOSPITAL AND HEALTH SCIENCES CENTER
270017,ST JAMES HEALTHCARE,2023-10,MT,Acute Care,Voluntary non-profit - Private,73.0,46.00928,-112.546068,
270023,COMMUNITY MEDICAL CENTER,2023-10,MT,Acute Care,Voluntary non-profit - Private,145.0,46.842062,-114.055919,COMMUNITY MEDICAL CENTER INC
